nx,dx,error
16,6.250000e-02,7.339232e-07
32,3.125000e-02,4.748188e-07
64,1.562500e-02,2.735665e-07
128,7.812500e-03,1.472929e-07
256,3.906250e-03,7.648099e-08
512,1.953125e-03,3.897658e-08
1024,9.765625e-04,1.967584e-08
2048,4.882812e-04,9.885256e-09
