nx,dx,error
16,6.250000e-02,4.151667e-07
32,3.125000e-02,2.684610e-07
64,1.562500e-02,1.547062e-07
128,7.812500e-03,8.330926e-08
256,3.906250e-03,4.326117e-08
512,1.953125e-03,2.204774e-08
1024,9.765625e-04,1.113015e-08
2048,4.882812e-04,5.591901e-09
