x,value
0.00390625,0.0
0.01171875,0.0
0.01953125,0.0
0.02734375,0.0
0.03515625,0.0
0.04296875,0.0
0.05078125,0.0
0.05859375,0.0
0.06640625,0.0
0.07421875,0.0
0.08203125,0.0
0.08984375,0.0
0.09765625,0.0
0.10546875,0.0
0.11328125,0.0
0.12109375,0.0
0.12890625,0.0
0.13671875,0.0
0.14453125,0.0
0.15234375,0.0
0.16015625,0.0
0.16796875,0.0
0.17578125,1.9474263267086368e-17
0.18359375,-3.870671759580183e-15
0.19140625,-2.2945340658205422e-14
0.19921875,-2.1781540159088238e-14
0.20703125,3.3921293052192395e-13
0.21484375,2.500493843730882e-12
0.22265625,-1.3776918716672726e-10
0.23046875,-8.173302035324951e-10
0.23828125,-1.3473191520698985e-09
0.24609375,3.678624402316102e-08
0.25390625,1.250602297673442e-07
0.26171875,-4.225935924591185e-08
0.26953125,-5.734894875734507e-06
0.27734375,-1.8847383972931115e-05
0.28515625,-2.8594493729983354e-05
0.29296875,-2.9917337277800098e-05
0.30078125,-4.8428738534787895e-05
0.30859375,-0.0015909361241058062
0.31640625,-0.0072810798438660935
0.32421875,-0.01707155650531299
0.33203125,-0.029511277590139388
0.33984375,-0.04334401952588166
0.34765625,-0.05799385946429968
0.35546875,-0.07328499443296711
0.36328125,-0.08917317229306715
0.37109375,-0.10563071443067448
0.37890625,-0.12266129998459842
0.38671875,-0.14028359220244785
0.39453125,-0.15852460861429316
0.40234375,-0.17719624663803243
0.41015625,-0.19572626514440208
0.41796875,-0.21349086814519272
0.42578125,-0.230564647208449
0.43359375,-0.24391920926778266
0.44140625,-0.24253274525741758
0.44921875,-0.22598571500559747
0.45703125,-0.22401715958495727
0.46484375,-0.5172333165189898
0.47265625,-1.1036424117700425
0.48046875,-1.4396530527348337
0.48828125,-1.5641970304953878
0.49609375,-1.5978878266255863
0.50390625,-1.5956416971179361
0.51171875,-1.5865738069198276
0.51953125,-1.5842540457142409
0.52734375,-1.5881530625124245
0.53515625,-1.5889907501248228
0.54296875,-1.5788027259244524
0.55078125,-1.571008612501991
0.55859375,-1.5765009432343102
0.56640625,-1.5760065008604551
0.57421875,-1.577360162651805
0.58203125,-1.5857851080649545
0.58984375,-1.5906579300137358
0.59765625,-1.590614104967496
0.60546875,-1.589701072161239
0.61328125,-1.5902169530390646
0.62109375,-1.5832076713536298
0.62890625,-1.5697569992682046
0.63671875,-1.5490251285167003
0.64453125,-1.3876028601345005
0.65234375,-0.8490546939235574
0.66015625,-0.32554274915275405
0.66796875,-0.1626983016759576
0.67578125,-0.1480472218388488
0.68359375,-0.15145355789047954
0.69140625,-0.1585850619751546
0.69921875,-0.1651447099042552
0.70703125,-0.16797425865564106
0.71484375,-0.16804996762298918
0.72265625,-0.1680640238924247
0.73046875,-0.16811723208474771
0.73828125,-0.17188668808516142
0.74609375,-0.18227610124641094
0.75390625,-0.19335234028044562
0.76171875,-0.19861495474651636
0.76953125,-0.19662145022847216
0.77734375,-0.188732455611439
0.78515625,-0.17635119443013356
0.79296875,-0.1604415429200443
0.80078125,-0.14226512545671416
0.80859375,-0.12359785395332996
0.81640625,-0.10617224682873161
0.82421875,-0.09085435841596813
0.83203125,-0.07714770235522918
0.83984375,-0.0634798206249321
0.84765625,-0.04820920602642554
0.85546875,-0.030713421165770877
0.86328125,-0.012205103107028655
0.87109375,0.0038671662143430294
0.87890625,0.01297008695491879
0.88671875,0.012962921841903527
0.89453125,0.0069017353852154715
0.90234375,0.0010489860415655004
0.91015625,-0.0007295094178548921
0.91796875,-0.000452673112748467
0.92578125,-5.0281805263682634e-05
0.93359375,6.068706264515574e-06
0.94140625,2.382512201378929e-06
0.94921875,1.8123040930150293e-07
0.95703125,-2.7826004024758858e-08
0.96484375,-9.091724549508691e-09
0.97265625,-2.488330388287953e-10
0.98046875,9.185844875253509e-11
0.98828125,3.6358610844778075e-11
0.99609375,2.7001367793781264e-12
