x,value
0.00390625,0.0
0.01171875,0.0
0.01953125,0.0
0.02734375,0.0
0.03515625,0.0
0.04296875,0.0
0.05078125,0.0
0.05859375,0.0
0.06640625,0.0
0.07421875,0.0
0.08203125,0.0
0.08984375,0.0
0.09765625,0.0
0.10546875,0.0
0.11328125,0.0
0.12109375,0.0
0.12890625,0.0
0.13671875,0.0
0.14453125,0.0
0.15234375,0.0
0.16015625,0.0
0.16796875,0.0
0.17578125,-1.7527805667005859e-16
0.18359375,1.2793782361910506e-14
0.19140625,8.072425712047709e-14
0.19921875,7.713982852892168e-14
0.20703125,-1.1979361931905653e-12
0.21484375,-8.832417645369055e-12
0.22265625,4.867474901680914e-10
0.23046875,2.887660205521302e-09
0.23828125,4.7602816243359734e-09
0.24609375,-1.299665176499584e-07
0.25390625,-4.418460871996898e-07
0.26171875,1.493999864662e-07
0.26953125,2.0261656096842086e-05
0.27734375,6.658165843308101e-05
0.28515625,0.00010102457704407161
0.29296875,0.00010568302909830173
0.30078125,0.00017056714493651957
0.30859375,0.005585349802279651
0.31640625,0.025399980898319678
0.32421875,0.058903418702406805
0.33203125,0.10041644148010956
0.33984375,0.14521636019933243
0.34765625,0.1911276405542983
0.35546875,0.23741585092033501
0.36328125,0.2838115255108993
0.37109375,0.3301014179259549
0.37890625,0.37617969708308363
0.38671875,0.42195946997964023
0.39453125,0.46752039352012026
0.40234375,0.5126014086637792
0.41015625,0.5564573901345722
0.41796875,0.5964650603276522
0.42578125,0.6279569929744482
0.43359375,0.6412860557788572
0.44140625,0.6411096744939115
0.44921875,0.6392773693305582
0.45703125,0.6353756484147876
0.46484375,0.5798536567549195
0.47265625,0.4515669423522897
0.48046875,0.5229153659416301
0.48828125,0.5868656170346809
0.49609375,0.598801069997348
0.50390625,0.6083381790341551
0.51171875,0.6021335878142811
0.51953125,0.5939447301557851
0.52734375,0.5881863600600264
0.53515625,0.590798082678046
0.54296875,0.5957155017757971
0.55078125,0.5893226886176133
0.55859375,0.6072551431577966
0.56640625,0.617418409400808
0.57421875,0.6040545875062746
0.58203125,0.5974450530619133
0.58984375,0.596456882914034
0.59765625,0.6044027422349794
0.60546875,0.6075440340529745
0.61328125,0.5947232209294364
0.62109375,0.5829909709791209
0.62890625,0.5910601963702082
0.63671875,0.5972400739076399
0.64453125,0.4831600882559739
0.65234375,0.16026548784096198
0.66015625,-0.15829648540267496
0.66796875,-0.21976498682425846
0.67578125,-0.21458958682249538
0.68359375,-0.2176188202645487
0.69140625,-0.22726879072257614
0.69921875,-0.23736734027501072
0.70703125,-0.24119212998783618
0.71484375,-0.24126386486516369
0.72265625,-0.2413034338781909
0.73046875,-0.24140681791036095
0.73828125,-0.24656720867646592
0.74609375,-0.2606245057949149
0.75390625,-0.2755494570904346
0.76171875,-0.28260971932315954
0.76953125,-0.2799390216238454
0.77734375,-0.26933916147633735
0.78515625,-0.252600108228433
0.79296875,-0.2309065785663562
0.80078125,-0.20586727899213958
0.80859375,-0.1798653206474843
0.81640625,-0.1553267071498584
0.82421875,-0.13353920407055053
0.83203125,-0.11386543240126702
0.83984375,-0.09407528632173544
0.84765625,-0.07176404351581656
0.85546875,-0.04594555052794009
0.86328125,-0.018338667064508943
0.87109375,0.0058778539356523956
0.87890625,0.019693852677667798
0.88671875,0.019678560254327692
0.89453125,0.010459177927933975
0.90234375,0.001588797214132039
0.91015625,-0.0011021773180166703
0.91796875,-0.0006843093979104961
0.92578125,-7.594001586780126e-05
0.93359375,9.17134938046802e-06
0.94140625,3.601237562552213e-06
0.94921875,2.7391800715079694e-07
0.95703125,-4.206367907334829e-08
0.96484375,-1.3742793893239216e-08
0.97265625,-3.7605308006800063e-10
0.98046875,1.388637681318674e-10
0.98828125,5.4948182925986935e-11
0.99609375,4.080894731971078e-12
