nx,dx,error
16,6.250000e-02,4.667085e-08
32,3.125000e-02,1.489438e-08
64,1.562500e-02,3.654842e-09
128,7.812500e-03,8.156222e-10
256,3.906250e-03,1.807472e-10
512,1.953125e-03,4.757898e-11
1024,9.765625e-04,2.231573e-11
2048,4.882812e-04,3.364896e-11
