x,value
0.00390625,1.0
0.01171875,1.0
0.01953125,1.0
0.02734375,1.0
0.03515625,1.0
0.04296875,1.0
0.05078125,1.0
0.05859375,1.0
0.06640625,1.0
0.07421875,1.0
0.08203125,1.0
0.08984375,1.0
0.09765625,1.0
0.10546875,1.0
0.11328125,1.0
0.12109375,1.0
0.12890625,1.0
0.13671875,1.0
0.14453125,1.0
0.15234375,1.0
0.16015625,1.0
0.16796875,1.0
0.17578125,0.9999999999999999
0.18359375,0.9999999999999953
0.19140625,0.9999999999999875
0.19921875,1.0000000000000224
0.20703125,1.0000000000010376
0.21484375,1.0000000000029976
0.22265625,0.9999999997878863
0.23046875,0.9999999990300341
0.23828125,0.9999999987691514
0.24609375,1.0000000523695223
0.25390625,1.0000001682533102
0.26171875,0.9999998914809034
0.26953125,0.9999924600289094
0.27734375,0.9999760545081308
0.28515625,0.9999642668008107
0.29296875,0.9999627806619076
0.30078125,0.9999301085937514
0.30859375,0.9964183065228206
0.31640625,0.98318125840321
0.32421875,0.9606858882483998
0.33203125,0.932884451232023
0.33984375,0.9030495056653668
0.34765625,0.8726788414958182
0.35546875,0.8422605172152213
0.36328125,0.811974620793673
0.37109375,0.7819220700062384
0.37890625,0.7521984587987972
0.38671875,0.7228022790912757
0.39453125,0.6937456357528377
0.40234375,0.6650681653220636
0.41015625,0.637398715009909
0.41796875,0.6116306652964006
0.42578125,0.5898595359070461
0.43359375,0.5753080492202455
0.44140625,0.5751102385334094
0.44921875,0.5896053035191433
0.45703125,0.5902727584036734
0.46484375,0.3767237418548224
0.47265625,-0.16618842946360507
0.48046875,-0.4404583493715672
0.48828125,-0.5028787628554603
0.49609375,-0.5392639243328613
0.50390625,-0.5501258222647432
0.51171875,-0.5445379923459819
0.51953125,-0.5299143825342676
0.52734375,-0.5237640454120723
0.53515625,-0.5277672273128299
0.54296875,-0.5358627134214278
0.55078125,-0.5420957891031568
0.55859375,-0.5406699581487933
0.56640625,-0.5419132210506096
0.57421875,-0.5422675822225093
0.58203125,-0.5419305986907866
0.58984375,-0.5374789706706528
0.59765625,-0.5267877410604894
0.60546875,-0.5240453973121983
0.61328125,-0.5300973646534195
0.62109375,-0.5368286992281393
0.62890625,-0.5403948870680914
0.63671875,-0.5433628396471102
0.64453125,-0.6130890439944301
0.65234375,-0.7731844441804175
0.66015625,-0.878862395673893
0.66796875,-0.9110114138416965
0.67578125,-0.9109896184051863
0.68359375,-0.9085762820695217
0.69140625,-0.9045584258449078
0.69921875,-0.9014404892088439
0.70703125,-0.9007526529683155
0.71484375,-0.9006282471304643
0.72265625,-0.9005967782412165
0.73046875,-0.9004555717567594
0.73828125,-0.8992238984706427
0.74609375,-0.8953461258222253
0.75390625,-0.8898292101524428
0.76171875,-0.8858834848405247
0.76953125,-0.8852499340187286
0.77734375,-0.8882939858273059
0.78515625,-0.8947822787840208
0.79296875,-0.9042895110323821
0.80078125,-0.9161234522492333
0.80859375,-0.929131114747855
0.81640625,-0.9417397344909209
0.82421875,-0.9523733901462513
0.83203125,-0.9602413074112488
0.83984375,-0.9659958376116135
0.84765625,-0.9714601827376037
0.85546875,-0.9783591179496193
0.86328125,-0.9869919715751964
0.87109375,-0.9958116402506567
0.87890625,-1.002251788092243
0.88671875,-1.0045536172694685
0.89453125,-1.0033529226244506
0.90234375,-1.0010428220093777
0.91015625,-0.9997960988282975
0.91796875,-0.9997619061186402
0.92578125,-0.9999376866203636
0.93359375,-1.0000010049946015
0.94140625,-1.0000006424697652
0.94921875,-1.0000000684611314
0.95703125,-0.9999999934469948
0.96484375,-0.9999999964321731
0.97265625,-0.9999999995680912
0.98046875,-1.000000000027894
0.98828125,-1.0000000000112943
0.99609375,-1.00000000000112
