nx,dx,error
16,6.250000e-02,9.826481e-08
32,3.125000e-02,2.897292e-08
64,1.562500e-02,7.510529e-09
128,7.812500e-03,1.964324e-09
256,3.906250e-03,6.201904e-10
512,1.953125e-03,4.669441e-10
1024,9.765625e-04,1.114260e-09
2048,4.882812e-04,1.346838e-09
