nx,dx,error
16,6.250000e-02,9.565996e-08
32,3.125000e-02,2.607682e-08
64,1.562500e-02,6.657354e-09
128,7.812500e-03,1.618291e-09
256,3.906250e-03,4.240696e-10
512,1.953125e-03,1.252496e-10
1024,9.765625e-04,5.041984e-11
2048,4.882812e-04,5.639543e-11
