nx,dx,error
16,6.250000e-02,3.728599e-09
32,3.125000e-02,8.671079e-10
64,1.562500e-02,2.118895e-10
128,7.812500e-03,5.272430e-11
256,3.906250e-03,1.322960e-11
512,1.953125e-03,3.542401e-12
1024,9.765625e-04,1.546138e-12
2048,4.882812e-04,1.324856e-12
