nx,dx,error
16,6.250000e-02,8.097381e-08
32,3.125000e-02,2.289826e-08
64,1.562500e-02,6.378068e-09
128,7.812500e-03,1.451834e-09
256,3.906250e-03,4.043622e-10
512,1.953125e-03,1.194794e-10
1024,9.765625e-04,5.012895e-11
2048,4.882812e-04,5.437058e-11
