nx,dx,error
16,6.250000e-02,7.572072e-08
32,3.125000e-02,2.862348e-08
64,1.562500e-02,7.849504e-09
128,7.812500e-03,1.957307e-09
256,3.906250e-03,4.738354e-10
512,1.953125e-03,1.165456e-10
1024,9.765625e-04,2.866653e-11
2048,4.882812e-04,7.079189e-12
