nx,dx,error
16,6.250000e-02,1.106127e-07
32,3.125000e-02,3.904185e-08
64,1.562500e-02,1.037586e-08
128,7.812500e-03,2.605703e-09
256,3.906250e-03,6.235371e-10
512,1.953125e-03,1.472041e-10
1024,9.765625e-04,3.542072e-11
2048,4.882812e-04,1.048637e-11
