x,value
0.00390625,0.0
0.01171875,0.0
0.01953125,0.0
0.02734375,0.0
0.03515625,0.0
0.04296875,0.0
0.05078125,0.0
0.05859375,0.0
0.06640625,0.0
0.07421875,0.0
0.08203125,0.0
0.08984375,0.0
0.09765625,0.0
0.10546875,0.0
0.11328125,0.0
0.12109375,0.0
0.12890625,0.0
0.13671875,0.0
0.14453125,0.0
0.15234375,0.0
0.16015625,0.0
0.16796875,0.0
0.17578125,-1.1919257162091094e-16
0.18359375,-5.770384304905003e-15
0.19140625,-1.4712906846072135e-14
0.19921875,4.62547394411941e-14
0.20703125,1.1201791053311656e-12
0.21484375,4.510567247449053e-12
0.22265625,-2.020726304470537e-10
0.23046875,-1.089091683492081e-09
0.23828125,-1.4602951758968974e-09
0.24609375,4.68704273384685e-08
0.25390625,1.417877057558554e-07
0.26171875,-1.1780044408871731e-07
0.26953125,-7.335562488216394e-06
0.27734375,-2.371733168603066e-05
0.28515625,-3.61366095958087e-05
0.29296875,-3.776604676706547e-05
0.30078125,-6.14302043261134e-05
0.30859375,-0.0016377871839788844
0.31640625,-0.007277119747068473
0.32421875,-0.017111753965187344
0.33203125,-0.029657520685497166
0.33984375,-0.04365039121359384
0.34765625,-0.05846545938654531
0.35546875,-0.07388870919820323
0.36328125,-0.08984241724463034
0.37109375,-0.10627533563172917
0.37890625,-0.12319269522733486
0.38671875,-0.14056257333659708
0.39453125,-0.1584208073835837
0.40234375,-0.1767397702874563
0.41015625,-0.19489098802269614
0.41796875,-0.2119799634070338
0.42578125,-0.2266778804257639
0.43359375,-0.2372790097881048
0.44140625,-0.24128847577046333
0.44921875,-0.23350973690534146
0.45703125,-0.22394858577878915
0.46484375,-0.4481321999929198
0.47265625,-1.0581596130178927
0.48046875,-1.4633182715753297
0.48828125,-1.590195124726842
0.49609375,-1.6010930072930936
0.50390625,-1.590642259891395
0.51171875,-1.5848699868126142
0.51953125,-1.591140024187307
0.52734375,-1.595123925228049
0.53515625,-1.5923453008424315
0.54296875,-1.5877733943008867
0.55078125,-1.5844225351938708
0.55859375,-1.5849440921787339
0.56640625,-1.5678012932471168
0.57421875,-1.5630784252587404
0.58203125,-1.577552003854455
0.58984375,-1.587718070833249
0.59765625,-1.5743985913106322
0.60546875,-1.5647407849100043
0.61328125,-1.5851688458886908
0.62109375,-1.5988657567020252
0.62890625,-1.5727775331573337
0.63671875,-1.5391334496163187
0.64453125,-1.4755550894477771
0.65234375,-0.9882025907462084
0.66015625,-0.3136924810311322
0.66796875,-0.1303544019740686
0.67578125,-0.14571172908081254
0.68359375,-0.1525059225506914
0.69140625,-0.15395023544161515
0.69921875,-0.16094256035374876
0.70703125,-0.17479820946856126
0.71484375,-0.18869745113835013
0.72265625,-0.1965496676987807
0.73046875,-0.19915334904057744
0.73828125,-0.1993032270682488
0.74609375,-0.19756911675746383
0.75390625,-0.19327621687759974
0.76171875,-0.18694965994792295
0.76953125,-0.1797373813143661
0.77734375,-0.17180559309264407
0.78515625,-0.16230202857541817
0.79296875,-0.15040353352449193
0.80078125,-0.1362436013738854
0.80859375,-0.12101952772090191
0.81640625,-0.10615818933480264
0.82421875,-0.09221295443393919
0.83203125,-0.07830978737221142
0.83984375,-0.06268797168174801
0.84765625,-0.04391258611916655
0.85546875,-0.02196005769280941
0.86328125,0.0008897642956719879
0.87109375,0.01931982322306946
0.87890625,0.027041736435708723
0.88671875,0.021903284734615478
0.89453125,0.009620322944907835
0.90234375,0.0004055860077167102
0.91015625,-0.0016223318694220743
0.91796875,-0.0008307995980100278
0.92578125,-5.525659554657337e-05
0.93359375,4.5944122920810594e-05
0.94140625,1.2761246423399095e-05
0.94921875,9.377315218787588e-08
0.95703125,-2.1672891047359401e-07
0.96484375,-5.0113591935364805e-08
0.97265625,1.1357442090428337e-09
0.98046875,7.165713629084756e-10
0.98828125,8.290150250299681e-11
0.99609375,7.386879945096807e-13
