nx,dx,error
16,6.250000e-02,1.246409e-07
32,3.125000e-02,4.725178e-08
64,1.562500e-02,1.288631e-08
128,7.812500e-03,3.246398e-09
256,3.906250e-03,8.070587e-10
512,1.953125e-03,2.014720e-10
1024,9.765625e-04,5.012359e-11
2048,4.882812e-04,1.315027e-11
