nx,dx,error
16,6.250000e-02,3.296846e-07
32,3.125000e-02,2.134422e-07
64,1.562500e-02,1.230375e-07
128,7.812500e-03,6.626067e-08
256,3.906250e-03,3.440875e-08
512,1.953125e-03,1.753626e-08
1024,9.765625e-04,8.852674e-09
2048,4.882812e-04,4.447673e-09
