nx,dx,error
16,6.250000e-02,1.576775e-08
32,3.125000e-02,3.811353e-09
64,1.562500e-02,9.433987e-10
128,7.812500e-03,2.355610e-10
256,3.906250e-03,5.893083e-11
512,1.953125e-03,1.479249e-11
1024,9.765625e-04,5.330996e-12
2048,4.882812e-04,4.632985e-12
