nx,dx,error
16,6.250000e-02,3.541443e-08
32,3.125000e-02,1.160914e-08
64,1.562500e-02,3.339553e-09
128,7.812500e-03,8.376980e-10
256,3.906250e-03,2.044249e-10
512,1.953125e-03,5.080287e-11
1024,9.765625e-04,1.264404e-11
2048,4.882812e-04,3.377105e-12
