x,value
0.00390625,0.0
0.01171875,0.0
0.01953125,0.0
0.02734375,0.0
0.03515625,0.0
0.04296875,0.0
0.05078125,0.0
0.05859375,0.0
0.06640625,0.0
0.07421875,0.0
0.08203125,0.0
0.08984375,0.0
0.09765625,0.0
0.10546875,0.0
0.11328125,0.0
0.12109375,0.0
0.12890625,0.0
0.13671875,0.0
0.14453125,0.0
0.15234375,0.0
0.16015625,0.0
0.16796875,0.0
0.17578125,-1.9114403685344184e-17
0.18359375,-1.9546477321389383e-15
0.19140625,-5.420886398760887e-15
0.19921875,9.338397601558197e-15
0.20703125,4.3419763291897093e-13
0.21484375,1.2541510747130985e-12
0.22265625,-8.876153686116554e-11
0.23046875,-4.0589174112623973e-10
0.23828125,-5.150610560963602e-10
0.24609375,2.1914556658032728e-08
0.25390625,7.040744044623685e-08
0.26171875,-4.541180411092917e-08
0.26953125,-3.1552015172874938e-06
0.27734375,-1.0020356884840696e-05
0.28515625,-1.4953011443843156e-05
0.29296875,-1.5575433879113704e-05
0.30078125,-2.9244027214817117e-05
0.30859375,-0.0015030842064595704
0.31640625,-0.007117578426539876
0.32421875,-0.01687505561232103
0.33203125,-0.029322435322314308
0.33984375,-0.04318354769832631
0.34765625,-0.05786358853828407
0.35546875,-0.07317747918760698
0.36328125,-0.08907607192278025
0.37109375,-0.10552783527512141
0.37890625,-0.12252281464605509
0.38671875,-0.14005579256481027
0.39453125,-0.1581506387474466
0.40234375,-0.17670591732893692
0.41015625,-0.19533673144667077
0.41796875,-0.21333130039323797
0.42578125,-0.23037585066719152
0.43359375,-0.24344177934987737
0.44140625,-0.24306665913874584
0.44921875,-0.2282109916418308
0.45703125,-0.22160038699782314
0.46484375,-0.5074230863713927
0.47265625,-1.118177165440866
0.48046875,-1.4547322693646612
0.48828125,-1.549072102116558
0.49609375,-1.5903522614567707
0.50390625,-1.5943074827644157
0.51171875,-1.5893497768798868
0.51953125,-1.5857227237294051
0.52734375,-1.5873146310083275
0.53515625,-1.587126591931589
0.54296875,-1.5783401803881913
0.55078125,-1.571206318852726
0.55859375,-1.575145422368321
0.56640625,-1.574209936724917
0.57421875,-1.5714203316613082
0.58203125,-1.5785435609678928
0.58984375,-1.5843443127329782
0.59765625,-1.5891323811235687
0.60546875,-1.593604226776289
0.61328125,-1.5944254559286013
0.62109375,-1.5860861847527483
0.62890625,-1.5681314671541267
0.63671875,-1.542487202972411
0.64453125,-1.396327069703247
0.65234375,-0.8277121076463712
0.66015625,-0.302433773315993
0.66796875,-0.15530226404558825
0.67578125,-0.15088994261804536
0.68359375,-0.15617167395958773
0.69140625,-0.16366557868678464
0.69921875,-0.16894622789429395
0.70703125,-0.17008252163482154
0.71484375,-0.16997529190966254
0.72265625,-0.17036874926973292
0.73046875,-0.17088346381386132
0.73828125,-0.17264998909713855
0.74609375,-0.1799241895710334
0.75390625,-0.18982930662479525
0.76171875,-0.19708071569277982
0.76953125,-0.1982239131354384
0.77734375,-0.19266603911755042
0.78515625,-0.1808598282804412
0.79296875,-0.16370800312263825
0.80078125,-0.14258980215296876
0.80859375,-0.11967090697539685
0.81640625,-0.0977436777830695
0.82421875,-0.07946924998429111
0.83203125,-0.06607495536161677
0.83984375,-0.056346397719115315
0.84765625,-0.0471615429400925
0.85546875,-0.03563773379208445
0.86328125,-0.021329053779090893
0.87109375,-0.006837691035461576
0.87890625,0.0036631605519777647
0.88671875,0.007399420212885361
0.89453125,0.005451715104196928
0.90234375,0.0016976360198827547
0.91015625,-0.00033215089180547774
0.91796875,-0.0003878664329574113
0.92578125,-0.00010150128022408992
0.93359375,1.6369376962638852e-06
0.94140625,1.046458404975608e-06
0.94921875,1.1151095260522932e-07
0.95703125,-1.0673606934942475e-08
0.96484375,-5.811322512950766e-09
0.97265625,-7.035000869225152e-10
0.98046875,4.5432567742685315e-11
0.98828125,1.8395809593189435e-11
0.99609375,1.824179724712576e-12
