x,value
0.00390625,0.0
0.01171875,0.0
0.01953125,0.0
0.02734375,0.0
0.03515625,0.0
0.04296875,0.0
0.05078125,0.0
0.05859375,0.0
0.06640625,0.0
0.07421875,0.0
0.08203125,0.0
0.08984375,0.0
0.09765625,0.0
0.10546875,0.0
0.11328125,0.0
0.12109375,0.0
0.12890625,0.0
0.13671875,0.0
0.14453125,0.0
0.15234375,0.0
0.16015625,2.9488343833465966e-17
0.16796875,8.078855760400778e-16
0.17578125,8.205145233493625e-16
0.18359375,-1.6886581864107934e-14
0.19140625,-5.3970943699190174e-14
0.19921875,-4.974669460942482e-16
0.20703125,1.403275858773998e-12
0.21484375,5.896180741906498e-12
0.22265625,-2.617407972770676e-10
0.23046875,-1.4968655907311144e-09
0.23828125,-2.178494168239453e-09
0.24609375,5.992840620979764e-08
0.25390625,1.954157048429752e-07
0.26171875,-8.559780280260291e-08
0.26953125,-9.630157970579042e-06
0.27734375,-3.215457263370578e-05
0.28515625,-4.995190771066506e-05
0.29296875,-5.2475826235729914e-05
0.30078125,-7.675328743644951e-05
0.30859375,-0.0016488356480527113
0.31640625,-0.007270461169573072
0.32421875,-0.017076151553259682
0.33203125,-0.029592646324697203
0.33984375,-0.04356545756733883
0.34765625,-0.05837562828674329
0.35546875,-0.07381618344745976
0.36328125,-0.08981260929114177
0.37109375,-0.10630409471967062
0.37890625,-0.12329070685321024
0.38671875,-0.14071179376225923
0.39453125,-0.1585765753422131
0.40234375,-0.17682729496146163
0.41015625,-0.1947714315933326
0.41796875,-0.21149388215580953
0.42578125,-0.22603074802476064
0.43359375,-0.2368667984486515
0.44140625,-0.2417420891359075
0.44921875,-0.23497447136749428
0.45703125,-0.22420490213383906
0.46484375,-0.4351444462592691
0.47265625,-1.0510055713891822
0.48046875,-1.467377954406548
0.48828125,-1.5979582308112463
0.49609375,-1.6046568979590412
0.50390625,-1.5906601768693436
0.51171875,-1.5845114136000409
0.51953125,-1.592178689192853
0.52734375,-1.5950363162997008
0.53515625,-1.5917005169673701
0.54296875,-1.5894147590903316
0.55078125,-1.5854649225850603
0.55859375,-1.583631030730307
0.56640625,-1.5679437280562118
0.57421875,-1.5681387795143038
0.58203125,-1.582784412814822
0.58984375,-1.584712802645102
0.59765625,-1.5703678895078403
0.60546875,-1.5702373527236646
0.61328125,-1.594314941264309
0.62109375,-1.588106256201075
0.62890625,-1.5424811530168854
0.63671875,-1.5593004782927047
0.64453125,-1.484635660588501
0.65234375,-0.9645558747239181
0.66015625,-0.29369960494548997
0.66796875,-0.1264484420188194
0.67578125,-0.14687760826843807
0.68359375,-0.15446430544225856
0.69140625,-0.15718206789201156
0.69921875,-0.16348784699002897
0.70703125,-0.17526298287956352
0.71484375,-0.18777361048590516
0.72265625,-0.19505539284380843
0.73046875,-0.19688296431615565
0.73828125,-0.19660968012810162
0.74609375,-0.19501948392810275
0.75390625,-0.19147008916321803
0.76171875,-0.18635933760929846
0.76953125,-0.18065506801261758
0.77734375,-0.17411375621630779
0.78515625,-0.16536954598058123
0.79296875,-0.15345325876068833
0.80078125,-0.1388300899481348
0.80859375,-0.12316307266583403
0.81640625,-0.10799540838936722
0.82421875,-0.09364137647515396
0.83203125,-0.07898615100149085
0.83984375,-0.062311743415958215
0.84765625,-0.04249711853454753
0.85546875,-0.01987670442359115
0.86328125,0.0029957950485159693
0.87109375,0.02065513108983007
0.87890625,0.02709209414784571
0.88671875,0.020859147050388566
0.89453125,0.00847331398676093
0.90234375,-4.709496008836999e-05
0.91015625,-0.0015203089409401777
0.91796875,-0.0007000898078429735
0.92578125,-1.8971772248518522e-05
0.93359375,3.431868028935461e-05
0.94140625,1.1037404245710766e-05
0.94921875,-1.92112216330512e-07
0.95703125,-2.0588986160506703e-07
0.96484375,-3.1284523329781513e-08
0.97265625,7.974773094910712e-10
0.98046875,3.973717449748339e-10
0.98828125,8.123688168796235e-11
0.99609375,-7.075245133540914e-14
