nx,dx,error
16,6.250000e-02,6.369434e-07
32,3.125000e-02,4.605012e-07
64,1.562500e-02,2.833908e-07
128,7.812500e-03,1.581315e-07
256,3.906250e-03,8.363920e-08
512,1.953125e-03,4.302750e-08
1024,9.765625e-04,2.182364e-08
2048,4.882812e-04,1.099040e-08
