nx,dx,error
16,6.250000e-02,8.846643e-08
32,3.125000e-02,1.820358e-08
64,1.562500e-02,4.658416e-09
128,7.812500e-03,1.082354e-09
256,3.906250e-03,3.113675e-10
512,1.953125e-03,8.448111e-10
1024,9.765625e-04,2.032338e-07
2048,4.882812e-04,4.051783e-07
